Project,subID,ExpID,CoderID,Page Number,Question Number,Qtype,Concept,Concept-super,Question_ID,Question,Question-Notes,Answer (0 /1),Explanation,Needed Clarification/Repetition,Include? ,Exp Error?,Notes,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_1.1,Which one will Henry choose? (Chooses Same),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_2.1,Which one will Kari choose? (Chooses Opposite),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_3.1,Where will Joe look? (Chooses Opposite),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_4.1,Which snack? (one she's looking at),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_4.2,How'd you know that snack? (looking at it),#REF!,1,She walked in and can only see this one,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_5.1,Where will Diana look? (Drawer),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_5.2,"Why does she look in the drawer? (Thinks it's there, where she put it)",#REF!,1,Because she thinks that's where it is,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_5.3,Where is her snack?,#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_6.1,Gives Sean pear?,#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_7.1,Where will Allie look? (top of shelf),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_7.2,"Why will she look on top of shelf? (thinks it's hers, looks like hers)",#REF!,1,Because she thinks that's hers because that's where she put it,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_7.3,Why does Sue feel sad? (Allie is taking her snack),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_7.4,Is Allie being mean/naughty? (No),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_7.5,"Why/why not (mean/naughty)? (She didn't know, she thought it was hers, accident)",#REF!,1,Because she didn't know,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_7.6,Should Allie get in trouble (No),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_7.7,"Why/why not (trouble)? (She didn't know, she thought it was hers, accident)",#REF!,1,Because she didn't know,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_8.1,What snack did Dad pack for Luke to have? (Chips),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_8.2,What does Luke think is inside the bag- crackers or chips? (Crackers),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_8.3,Why does he think that? (Expectations),#REF!,NA,NA,NA,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_9.1,Gives Sarah fruit snacks?,#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_10.1,Which snack will mom pack? (Carrots),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Expl_10.2,"Why will mom pack carrots? (Near ""glasses"")",#REF!,1,"It was near the glasses, and you said glasses a little slower",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_10.3,Which snack does Josh want- celery or carrots? (celery),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_10.4,"How did you know? (He tried it earlier, he likes celery)",#REF!,1,Because he tried them and he really liked them,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_Cont_11.1,Why did Charlie say that? (Got what he asked for),#REF!,1,Because he wanted something salty and he got something salty,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_11.2,Is Charlie happy or sad? (Happy),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
712yoC,Booklet2-001,E9,C2,#REF!,#REF!,#REF!,#REF!,#REF!,ToMS_2AFC_12.1,Which cookie will dad pack? (medium cookie),#REF!,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
